id,primera_fecha,ult_fecha,tiempo_serv_trab,fecha_inidi,ent_pago_des,neto_pagar,ultimo_sueldo,ahorros_estimados,id_estado,estado,q25,q50,q75,fijo_cat_q25,fijo_mensual_q25,fijo_ingreso_q25,fijo_cat_q50,fijo_mensual_q50,fijo_ingreso_q50,fijo_cat_q75,fijo_mensual_q75,fijo_ingreso_q75
137526608,2001-02-16,2022-12-31,220209,2023-01-01,CHIAPAS,7352.47,15284.000000000002,733632.0000000001,7,CHIAPAS,1775000.0,3825000.0,6910350.0,14.334624480715227,20097.720476190476,53593.921269841274,14.178680252646334,42979.85523809524,114612.9473015873,14.099747764673014,81337.07238095238,216898.8596825397
137266223,1999-04-16,2018-07-24,190620,2018-07-25,ORIENTE DE LA CDMX,8525.45,13382.4,642355.2,9,ORIENTE DE LA CDMX,3867500.0,6498250.0,11625000.0,14.177195939213716,43454.240952380955,115877.97587301586,14.101315666445362,77118.31380952381,205648.8368253968,14.053013998774682,144290.89857142858,384775.7295238095
137464604,2005-06-01,2023-12-31,181008,2024-01-01,HIDALGO,6634.7,13940.0,669120.0,13,HIDALGO,900000.0,1847600.0,3600000.0,14.616356899987347,10330.957142857143,27549.219047619048,14.32320408491499,20908.08380952381,55754.89015873016,14.187133025652017,40468.4019047619,107915.73841269843
137477135,2000-02-01,2015-08-31,150921,2024-12-19,TLAXCALA,10376.2,15931.42857142857,764708.5714285714,13,TLAXCALA,997500.0,2407500.0,4625000.0,14.560608106315616,11419.253809523809,30451.343492063494,14.258240751577056,27157.696190476192,72420.52317460316,14.155286617913324,51909.467142857146,138425.24571428573
137048521,1998-06-01,2013-12-31,150923,2014-01-01,EL ESTADO DE MEXICO,5999.25,15931.42857142857,764708.5714285714,15,EL ESTADO DE MEXICO,1250000.0,2500000.0,5487500.0,14.456507432287522,14237.662857142856,37967.100952380955,14.250302771768402,28190.182857142856,75173.82095238095,14.132788030884736,62292.364285714284,166112.9714285714
137284428,2000-03-16,2024-08-31,240925,2024-09-01,QUINTANA ROO,11961.73,15766.0,756768.0,23,QUINTANA ROO,3153500.0,4445536.635199999,6748419.14976,14.207468016452868,35484.56,94625.49333333333,14.159801465641873,49906.295238095234,133083.45396825398,14.103887431348353,78916.1119047619,210442.96507936507
137536509,1999-08-16,2023-08-31,230016,2023-09-01,MORELOS,8584.0,11948.57142857143,573531.4285714286,17,MORELOS,1672500.0,3600000.0,6735000.000000001,14.352426340117916,18953.614285714288,50542.97142857142,14.187133025652017,40468.4019047619,107915.73841269843,14.093312027636838,81110.58380952381,216294.89015873015
137309002,2003-01-16,2019-02-28,160408,2019-03-01,HIDALGO,6767.71,17563.42857142857,843044.5714285714,13,HIDALGO,900000.0,1847600.0,3600000.0,14.616356899987347,10330.957142857143,27549.219047619048,14.32320408491499,20908.08380952381,55754.89015873016,14.187133025652017,40468.4019047619,107915.73841269843
136970915,2001-04-01,2001-07-31,201100,2004-01-22,EL ESTADO DE MEXICO,11480.5,17323.846153846152,831544.6153846153,15,EL ESTADO DE MEXICO,1250000.0,2500000.0,5487500.0,14.456507432287522,14237.662857142856,37967.100952380955,14.250302771768402,28190.182857142856,75173.82095238095,14.137697448005632,61536.70666666667,164097.88444444444
136909105,1998-01-01,2015-01-31,170400,2015-02-01,HIDALGO,8525.45,15207.272727272728,729949.0909090909,13,HIDALGO,900000.0,1847600.0,3600000.0,14.616356899987347,10330.957142857143,27549.219047619048,14.32320408491499,20908.08380952381,55754.89015873016,14.187133025652017,40468.4019047619,107915.73841269843
137430695,2001-03-01,2003-06-16,240601,2003-06-17,ORIENTE DE LA CDMX,8898.42,11652.8,559334.3999999999,9,ORIENTE DE LA CDMX,3867500.0,6498250.0,11625000.0,14.174454616632865,43723.18238095238,116595.15301587302,14.096272151436299,78192.24761904762,208512.6603174603,14.05066718669647,145364.8319047619,387639.55174603174
137291023,1999-03-01,2019-01-31,191100,2019-02-01,JALISCO,14144.98,32189.28,1545085.44,14,JALISCO,2690000.0,3875000.0,7922500.0,14.235705454364322,30310.966666666667,80829.24444444444,14.176937615970726,43537.956666666665,116101.21777777777,14.108695881846199,88716.21619047619,236576.5765079365
137530261,1998-03-01,2021-11-14,240020,2021-11-15,BAJA CALIFORNIA,20798.6,33724.55172413793,1618778.4827586205,2,BAJA CALIFORNIA,2173490.75,3273100.0,5765262.760000001,14.281327644853015,24545.681428571428,65455.15047619047,14.201477069359324,36819.53761904762,98185.43365079365,14.133151787649476,64637.09904761905,172365.59746031748
137450932,2005-05-25,2022-08-15,170522,2022-08-16,VERACRUZ,8525.45,15207.272727272728,729949.0909090909,13,VERACRUZ,1297500.0,2500000.0,6098750.0,14.441440479804484,14767.858095238096,39380.95492063492,14.250302771768402,28190.182857142856,75173.82095238095,14.114896647264462,70750.82809523809,188668.87492063493
137527431,2001-10-01,2022-12-31,210122,2023-01-01,CHIAPAS,17285.8,26440.153846153844,1269127.3846153845,7,CHIAPAS,1775000.0,3825000.0,6910350.0,14.334624480715227,20097.720476190476,53593.921269841274,14.178680252646334,42979.85523809524,114612.9473015873,14.118270459909246,77418.58,206449.5466666667
137245981,1999-06-01,2022-03-31,220928,2022-04-01,EL ESTADO DE MEXICO,5323.32,11948.57142857143,573531.4285714286,15,EL ESTADO DE MEXICO,1250000.0,2500000.0,5487500.0,14.456507432287522,14237.662857142856,37967.100952380955,14.250302771768402,28190.182857142856,75173.82095238095,14.11753369052619,64765.376190476185,172707.66984126982
