id,primera_fecha,ult_fecha,tiempo_serv_trab,fecha_inidi,ent_pago_des,neto_pagar,ultimo_sueldo,ahorros_estimados,id_estado,estado,q25,q50,q75,fijo_cat_q25,fijo_mensual_q25,fijo_ingreso_q25,fijo_cat_q50,fijo_mensual_q50,fijo_ingreso_q50,fijo_cat_q75,fijo_mensual_q75,fijo_ingreso_q75
136632919,1980-09-01,2009-12-31,290904,2010-01-01,TABASCO,28076.63,28053.0,1346544.0,7,TABASCO,1593500.0,2500000.0,4278750.0,14.367704153946042,18071.815238095238,48191.5073015873,14.250302771768402,28190.182857142856,75173.82095238095,14.164339671759981,48044.619523809524,128118.9853968254
137467426,1991-02-01,2020-12-31,290601,2021-01-01,JALISCO,8179.82,9619.8,461750.39999999997,14,JALISCO,2690000.0,3875000.0,7922500.0,14.235705454364322,30310.966666666667,80829.24444444444,14.161676528125104,45083.7680952381,120223.38158730158,14.072831078021798,98115.61761904761,261641.646984127
136658471,1973-11-01,2003-09-15,291015,2003-09-16,PONIENTE DE LA CDMX,13853.1,13729.2,659001.6000000001,9,PONIENTE DE LA CDMX,3867500.0,6498250.0,11625000.0,14.177195939213716,43454.240952380955,115877.97587301586,14.10234444409473,76902.98142857144,205074.61714285714,14.05348882589227,144075.5657142857,384201.50857142854
136983226,1975-04-16,2004-11-30,290616,2004-12-01,TAMAULIPAS,9961.65,12966.6,622396.8,10,TAMAULIPAS,1830000.0,3325000.0,7050000.0,14.325892522231763,20711.63380952381,55231.0234920635,14.199011734295683,37398.84714285714,99730.25904761904,14.091316967049735,84605.72285714286,225615.26095238092
137083528,1974-10-01,2009-12-15,350820,2009-12-16,MICHOACAN,13117.28,12988.2,623433.6000000001,14,MICHOACAN,2075000.0,4000000.0,17100593.95,14.292602839875993,23446.326666666668,62523.537777777776,14.172766280340594,44933.20761904762,119821.88698412698,14.034308534236816,216278.9319047619,576743.8184126985
137494544,1983-03-01,2002-10-31,190411,2015-04-15,NORTE DE LA CDMX,9226.3,15010.499999999998,720503.9999999999,9,NORTE DE LA CDMX,3867500.0,6498250.0,11625000.0,14.177195939213716,43454.240952380955,115877.97587301586,14.106195365957834,76107.4038095238,202953.07682539683,14.055255865521886,143279.98857142855,382079.96952380956
136925064,1978-02-16,2014-07-31,360422,2014-08-01,PUEBLA,15936.61,15827.4,759715.2,21,PUEBLA,2351446.0,3425000.0,5875000.0,14.263353006018141,26532.021428571425,70752.05714285714,14.194472851735899,38515.04761904762,102706.79365079364,14.122190795209882,67434.12714285713,179824.33904761905
137439436,1987-03-16,2024-09-15,380019,2024-09-16,TLAXCALA,10200.84,10051.2,482457.60000000003,13,TLAXCALA,997500.0,2407500.0,4625000.0,14.560608106315616,11419.253809523809,30451.343492063494,14.258240751577056,27157.696190476192,72420.52317460316,14.134148049430141,54642.68380952381,145713.8234920635
137481899,1985-09-01,2017-12-15,320904,2017-12-16,OAXACA,33924.41,33942.0,1629216.0,21,OAXACA,1695000.0,3100000.0,5987499.999999999,14.348337621280182,19204.760000000002,51212.693333333336,14.210297755943998,34887.392380952384,93033.04634920636,14.129818845834647,67117.71523809523,178980.57396825397
137362959,1979-09-01,2008-06-30,281000,2008-07-01,SUR DE LA CDMX,30030.74,33007.2,1584345.5999999999,9,SUR DE LA CDMX,3867500.0,6498250.0,11625000.0,14.177195939213716,43454.240952380955,115877.97587301586,14.123022120458591,72818.7138095238,194183.23682539683,14.082352783164627,132105.59047619047,352281.5746031746
137408436,1985-09-01,2019-12-15,340312,2019-12-16,QUERETARO,28088.25,28064.7,1347105.6,22,QUERETARO,1730459.375,2960000.0,6937500.0,14.342103832036457,19600.55857142857,52268.15619047619,14.21818192643722,33324.71142857143,88865.89714285715,14.117977822296393,77721.63095238095,207257.68253968252
136702279,1978-08-01,2010-05-31,260501,2010-06-01,EL ESTADO DE MEXICO,15891.83,25872.0,1241856.0,15,EL ESTADO DE MEXICO,1250000.0,2500000.0,5487500.0,14.456507432287522,14237.662857142856,37967.100952380955,14.250302771768402,28190.182857142856,75173.82095238095,14.137697448005632,61536.70666666667,164097.88444444444
137480983,1986-07-01,2021-12-30,360007,2021-12-31,ORIENTE DE LA CDMX,11422.66,15933.3,764798.3999999999,9,ORIENTE DE LA CDMX,3867500.0,6498250.0,11625000.0,14.177195939213716,43454.240952380955,115877.97587301586,14.109020375957785,75534.42476190475,201425.13269841266,14.056540494924885,142707.01047619045,380552.02793650795
137152056,1988-01-01,2018-12-31,310513,2019-01-01,VERACRUZ,19403.19,26367.6,1265644.7999999998,13,VERACRUZ,1297500.0,2500000.0,6098750.0,14.441440479804484,14767.858095238096,39380.95492063492,14.250302771768402,28190.182857142856,75173.82095238095,14.12824167803412,68359.48809523809,182291.96825396825
136732143,1980-02-22,2007-12-31,271009,2008-01-01,OAXACA,13568.6,13442.7,645249.6000000001,21,OAXACA,1695000.0,3100000.0,5987499.999999999,14.348337621280182,19204.760000000002,51212.693333333336,14.210297755943998,34887.392380952384,93033.04634920636,14.111398267013458,70388.83666666667,187703.56444444446
137540338,1978-11-16,2010-04-30,311029,2010-05-01,EL ESTADO DE MEXICO,31275.0,33942.0,1629216.0,15,EL ESTADO DE MEXICO,1250000.0,2500000.0,5487500.0,14.456507432287522,14237.662857142856,37967.100952380955,14.250302771768402,28190.182857142856,75173.82095238095,14.137697448005632,61536.70666666667,164097.88444444444
